,,,CREACIÓN,,MODIFICACIÓN,,,,
CATEGORIAS,CÓDIGO,CATEGORIAS,BASE LEGAL,FECHA PROMULGACIÓN,BASE LEGAL,FECHA PROMULGACIÓN,UBICACIÓN POLITICA,EXTENSION  (ha),
areas de conservacion privada (143),18,Mantanay,R.M. Nº 073-2010-MINAM,06.05.2010,,,CUSCO,365.57,
areas de conservacion privada (143),19,Choquechaca,R.M. Nº 074-2010-MINAM,06.05.2010,,,CUSCO,2076.54,
areas de conservacion privada (143),20,Tambo Ilusión,R.M. Nº 075-2010-MINAM,06.05.2010,,,SAN MARTIN,14.29,
areas de conservacion privada (143),21,Tilacancha,R.M. Nº 118-2010-MINAM,06.07.2010,,,AMAZONAS,6800.48,
areas de conservacion privada (143),22,Habana Rural Inn,R.M. Nº 156-2010-MINAM,06.09.2010,,,MADRE DE DIOS,27.79,
areas de conservacion privada (143),23,Refugio K'erenda Homet,R.M. Nº 157-2010-MINAM,06.09.2010,,,MADRE DE DIOS,35.4,
areas de conservacion privada (143),24,Bahuaja,R.M. Nº 158-2010-MINAM,06.09.2010,,,MADRE DE DIOS,5.57,
areas de conservacion privada (143),25,Tutusima,R.M. Nº 159-2010-MINAM,06.09.2010,,,MADRE DE DIOS,5.43,
areas de conservacion privada (143),26,Bosque Seco Amotape,R.M. Nº 242-2010-MINAM,01.12.2010,,,TUMBES,123.3,
areas de conservacion privada (143),27,Selva Botánica,R.M. Nº 264-2010-MINAM,29.12.2010,,,LORETO,170.46,
areas de conservacion privada (143),28,Herman Dantas,R.M. Nº 266-2010-MINAM,29.12.2010,,,LORETO,49.07,
areas de conservacion privada (143),29,Juningue,R.M. Nº 033-2011-MINAM,17.02.2011,,,SAN MARTIN,39.12,
areas de conservacion privada (143),30,Qosqoccahuarina,R.M. Nº 089-2011-MINAM,28.04.2011,,,CUSCO,1827,
areas de conservacion privada (143),31,Pampacorral,R.M. Nº 090-2011-MINAM,28.04.2011,,,CUSCO,767.56,
areas de conservacion privada (143),32,Hierba Buena - Allpayacu,R.M. Nº 123-2011-MINAM,07.06.2011,,,AMAZONAS,2282.12,
areas de conservacion privada (143),33,San Marcos,R.M. Nº 133-2011-MINAM,16.06.2011,,,HUANUCO,985.99,
areas de conservacion privada (143),34,Copallín,R.M. Nº 140-2011-MINAM,24.06.2011,,,AMAZONAS,11549.21,
areas de conservacion privada (143),35,Amazon Natural Park,R.M. Nº 155-2011-MINAM,19.07.2011,,,LORETO,62.66,
areas de conservacion privada (143),36,Milpuj - La Heredad,R.M. Nº 164-2011-MINAM,26.07.2011,,,AMAZONAS,16.57,
areas de conservacion privada (143),37,Lomas de Atiquipa,R.M. Nº 165-2011-MINAM,26.07.2011,,,AREQUIPA,19028.02,
areas de conservacion privada (143),38,Huaylla Belén - Colcamar,R.M. Nº 166-2011-MINAM,26.07.2011,,,AMAZONAS,6338.42,
areas de conservacion privada (143),39,La Huerta del Chaparrí,R.M. Nº 266-2011-MINAM,11.11.2011,,,LAMBAYEQUE,100.0001,
areas de conservacion privada (143),40,Pillco Grande - Bosque de Pumataki,R.M. Nº 299-2011-MINAM,22.12.2011,,,CUSCO,271.62,
areas de conservacion privada (143),41,Panguana,R.M. Nº 300-2011-MINAM,22.12.2011,,,HUANUCO,135.6,
areas de conservacion privada (143),42,Japu - Bosque Ukumari Llaqta,R.M. Nº 301-2011-MINAM,22.12.2011,,,CUSCO,18695.75,
areas de conservacion privada (143),43,Microcuenca de Paria,R.M. Nº 306-2011-MINAM,29.12.2011,,,ANCASH,767.34,
areas de conservacion privada (143),44,Inotawa-2,R.M. Nº 013-2012-MINAM,24.01.2012,,,MADRE DE DIOS,15.59,
areas de conservacion privada (143),45,Inotawa-1,R.M. Nº 016-2012-MINAM,24.01.2012,,,MADRE DE DIOS,58.92,
areas de conservacion privada (143),46,San Juan Bautista,R.M. Nº 035-2012-MINAM,24.02.2012,,,MADRE DE DIOS,23.14,
areas de conservacion privada (143),47,Boa Wadack Dari,R.M. Nº 079-2012-MINAM,26.03.2012,,,MADRE DE DIOS,22.88,
areas de conservacion privada (143),48,Nuevo Amanecer,R.M. Nº 081-2012-MINAM,26.03.2012,,,MADRE DE DIOS,28.38,
areas de conservacion privada (143),49,Taypipiña,R.M. Nº 135-2012-MINAM,01.06.2012,,,PUNO,651.19,
areas de conservacion privada (143),50,Checca,R.M. Nº 147-2012-MINAM,11.06.2012,,,PUNO,560,
areas de conservacion privada (143),51,El Gato,R.M. Nº 185-2012-MINAM,16.07.2012,,,MADRE DE DIOS,45,
areas de conservacion privada (143),52,Bosque Benjamín I,R.M. Nº 244-2012-MINAM,13.09.2012,,,MADRE DE DIOS,28.41,
areas de conservacion privada (143),53,Bosque de Palmeras de la Comunidad Campesina Taulia Molinopampa,R.M. Nº 252-2012-MINAM,20.09.2012,,,AMAZONAS,10920.84,
areas de conservacion privada (143),54,Gotas de Agua II,R.M. Nº 268-2012-MINAM,28.09.2012,,,CAJAMARCA,7.5,
areas de conservacion privada (143),55,Gotas de Agua I,R.M. Nº 269-2012-MINAM,28.09.2012,,,CAJAMARCA,3,
areas de conservacion privada (143),56,Los Chilchos,R.M. Nº 320-2012-MINAM,21.11.2012,,,AMAZONAS,46000,
areas de conservacion privada (143),57,Camino Verde Baltimore,R.M. Nº 346-2012-MINAM,28.12.2012,,,MADRE DE DIOS,21.07,
areas de conservacion privada (143),58,Larga Vista I,R.M. Nº 020-2013-MINAM,21.01.2013,,,SAN MARTIN,22.32,
areas de conservacion privada (143),59,Larga Vista II,R.M. Nº 021-2013-MINAM,21.01.2013,,,SAN MARTIN,22.5,
areas de conservacion privada (143),60,Pucunucho,R.M. Nº 040-2013-MINAM,15.02.2013,,,SAN MARTIN,23.5,
areas de conservacion privada (143),61,Bosque Berlín,R.M. Nº 073-2013-MINAM,04.03.2013,,,AMAZONAS,59,
areas de conservacion privada (143),62,Bosques de Neblina y Páramos de Samanga,R.M. Nº 117-2013-MINAM,18.04.2013,,,PIURA,2888.03,
areas de conservacion privada (143),63,Bosque Benjamín II,R.M. Nº 185-2013-MINAM,21.06.2013,,,MADRE DE DIOS,29,
areas de conservacion privada (143),64,Selva Virgen,R.M. Nº 203-2013-MINAM,11.07.2013,,,LORETO,24.51,
areas de conservacion privada (143),65,La Pampa del Burro,R.M. Nº 208-2013-MINAM,16.07.2013,,,AMAZONAS,2776.96,
areas de conservacion privada (143),66,Bosque Benjamín III,R.M. Nº 213-2013-MINAM,17.07.2013,,,MADRE DE DIOS,26,
areas de conservacion privada (143),67,Las Panguanas 3,R.M. Nº 385-2013-MINAM,09.12.2013,,,LORETO,6.87,
areas de conservacion privada (143),68,Las Panguanas 4,R.M. Nº 386-2013-MINAM,09.12.2013,,,LORETO,5.12,
areas de conservacion privada (143),69,Las Panguanas 2,R.M. Nº 396-2013-MINAM,27.12.2013,,,LORETO,0.62,
areas de conservacion privada (143),70,Paraíso Natural Iwirati,R.M. Nº 010-2014-MINAM,14.01.2014,,,LORETO,100,
areas de conservacion privada (143),71,Amazon Shelter,R.M. Nº 105-2014-MINAM,14.04.2014,,,MADRE DE DIOS,9.59,
areas de conservacion privada (143),72,Espíritu del Monte,R.M. Nº 146-2014-MINAM,26.05.2014,,,MADRE DE DIOS,40,
